epoch:2,step:14,loss:0.275
epoch:2,step:15,loss:0.288
epoch:2,step:16,loss:0.294
epoch:2,step:17,loss:0.287
epoch:2,step:18,loss:0.272
epoch:2,step:19,loss:0.260
epoch:2,step:20,loss:0.270
epoch:2,step:21,loss:0.266
epoch:2,step:22,loss:0.271
epoch:2,step:23,loss:0.272
epoch:2,step:24,loss:0.287
epoch:2,step:25,loss:0.272
epoch:2,step:26,loss:0.267
epoch:2,step:27,loss:0.275
epoch:2,step:28,loss:0.265
epoch:2,step:29,loss:0.243
epoch:2,step:30,loss:0.271
epoch:2,step:31,loss:0.261
epoch:2,step:32,loss:0.265
epoch:2,step:33,loss:0.276
epoch:2,step:34,loss:0.282
epoch:2,step:35,loss:0.261
epoch:2,step:36,loss:0.264
epoch:2,step:37,loss:0.272
epoch:2,step:38,loss:0.245
epoch:2,step:39,loss:0.324
benchmark epoch:2,accuracy:12.200
epoch:3,step:0,loss:0.516
epoch:3,step:1,loss:0.337
epoch:3,step:2,loss:0.283
epoch:3,step:3,loss:0.300
epoch:3,step:4,loss:0.287
epoch:3,step:5,loss:0.280
epoch:3,step:6,loss:0.273
epoch:3,step:7,loss:0.265
epoch:3,step:8,loss:0.257
epoch:3,step:9,loss:0.271
epoch:3,step:10,loss:0.264
epoch:3,step:11,loss:0.268
epoch:3,step:12,loss:0.289
epoch:3,step:13,loss:0.264
epoch:3,step:14,loss:0.252
epoch:3,step:15,loss:0.280
epoch:3,step:16,loss:0.254
epoch:3,step:17,loss:0.265
epoch:3,step:18,loss:0.280
epoch:3,step:19,loss:0.269
epoch:3,step:20,loss:0.258
epoch:3,step:21,loss:0.260
epoch:3,step:22,loss:0.257
epoch:3,step:23,loss:0.253
epoch:3,step:24,loss:0.271
epoch:3,step:25,loss:0.273
epoch:3,step:26,loss:0.257
epoch:3,step:27,loss:0.267
epoch:3,step:28,loss:0.266
epoch:3,step:29,loss:0.257
epoch:3,step:30,loss:0.263
epoch:3,step:31,loss:0.272
epoch:3,step:32,loss:0.261
epoch:3,step:33,loss:0.248
epoch:3,step:34,loss:0.271
epoch:3,step:35,loss:0.247
epoch:3,step:36,loss:0.268
epoch:3,step:37,loss:0.252
epoch:3,step:38,loss:0.251
epoch:3,step:39,loss:0.330
benchmark epoch:3,accuracy:20.000
epoch:4,step:0,loss:0.521
epoch:4,step:1,loss:0.287
epoch:4,step:2,loss:0.281
epoch:4,step:3,loss:0.257
epoch:4,step:4,loss:0.274
epoch:4,step:5,loss:0.250
epoch:4,step:6,loss:0.258
epoch:4,step:7,loss:0.261
epoch:4,step:8,loss:0.266
epoch:4,step:9,loss:0.246
epoch:4,step:10,loss:0.250
epoch:4,step:11,loss:0.264
epoch:4,step:12,loss:0.258
epoch:4,step:13,loss:0.265
epoch:4,step:14,loss:0.248
epoch:4,step:15,loss:0.242
epoch:4,step:16,loss:0.261
epoch:4,step:17,loss:0.283
epoch:4,step:18,loss:0.262
epoch:4,step:19,loss:0.256
epoch:4,step:20,loss:0.254
epoch:4,step:21,loss:0.276
epoch:4,step:22,loss:0.255
epoch:4,step:23,loss:0.245
epoch:4,step:24,loss:0.250
epoch:4,step:25,loss:0.259
epoch:4,step:26,loss:0.265
epoch:4,step:27,loss:0.259
epoch:4,step:28,loss:0.257
epoch:4,step:29,loss:0.241
epoch:4,step:30,loss:0.242
epoch:4,step:31,loss:0.235
epoch:4,step:32,loss:0.255
epoch:4,step:33,loss:0.248
epoch:4,step:34,loss:0.243
epoch:4,step:35,loss:0.253
epoch:4,step:36,loss:0.262
epoch:4,step:37,loss:0.250
epoch:4,step:38,loss:0.238
epoch:4,step:39,loss:0.263
benchmark epoch:4,accuracy:13.800
epoch:5,step:0,loss:0.412
epoch:5,step:1,loss:0.268
epoch:5,step:2,loss:0.262
epoch:5,step:3,loss:0.261
epoch:5,step:4,loss:0.269
epoch:5,step:5,loss:0.265
epoch:5,step:6,loss:0.249
epoch:5,step:7,loss:0.257
epoch:5,step:8,loss:0.250
epoch:5,step:9,loss:0.256
epoch:5,step:10,loss:0.239
epoch:5,step:11,loss:0.249
epoch:5,step:12,loss:0.250
epoch:5,step:13,loss:0.246
epoch:5,step:14,loss:0.242
epoch:5,step:15,loss:0.243
epoch:5,step:16,loss:0.242
epoch:5,step:17,loss:0.254
epoch:5,step:18,loss:0.255
epoch:5,step:19,loss:0.264
epoch:5,step:20,loss:0.247
epoch:5,step:21,loss:0.262
epoch:5,step:22,loss:0.252
epoch:5,step:23,loss:0.239
epoch:5,step:24,loss:0.279
epoch:5,step:25,loss:0.258
epoch:5,step:26,loss:0.240
epoch:5,step:27,loss:0.266
epoch:5,step:28,loss:0.253
epoch:5,step:29,loss:0.237
epoch:5,step:30,loss:0.236
epoch:5,step:31,loss:0.224
epoch:5,step:32,loss:0.215
epoch:5,step:33,loss:0.241
epoch:5,step:34,loss:0.253
epoch:5,step:35,loss:0.246
epoch:5,step:36,loss:0.245
epoch:5,step:37,loss:0.247
epoch:5,step:38,loss:0.266
epoch:5,step:39,loss:0.285
benchmark epoch:5,accuracy:18.500
epoch:6,step:0,loss:0.522
epoch:6,step:1,loss:0.280
epoch:6,step:2,loss:0.268
epoch:6,step:3,loss:0.239
epoch:6,step:4,loss:0.246
epoch:6,step:5,loss:0.263
epoch:6,step:6,loss:0.256
epoch:6,step:7,loss:0.252
epoch:6,step:8,loss:0.231
epoch:6,step:9,loss:0.241
epoch:6,step:10,loss:0.228
epoch:6,step:11,loss:0.262
epoch:6,step:12,loss:0.224
epoch:6,step:13,loss:0.252
epoch:6,step:14,loss:0.236
epoch:6,step:15,loss:0.228
epoch:6,step:16,loss:0.226
epoch:6,step:17,loss:0.227
epoch:6,step:18,loss:0.250
epoch:6,step:19,loss:0.269
epoch:6,step:20,loss:0.252
epoch:6,step:21,loss:0.233
epoch:6,step:22,loss:0.234
epoch:6,step:23,loss:0.243
epoch:6,step:24,loss:0.225
epoch:6,step:25,loss:0.236
epoch:6,step:26,loss:0.243
epoch:6,step:27,loss:0.251
epoch:6,step:28,loss:0.244
epoch:6,step:29,loss:0.231
epoch:6,step:30,loss:0.255
epoch:6,step:31,loss:0.233
epoch:6,step:32,loss:0.238
epoch:6,step:33,loss:0.247
epoch:6,step:34,loss:0.252
epoch:6,step:35,loss:0.249
epoch:6,step:36,loss:0.236
epoch:6,step:37,loss:0.256
epoch:6,step:38,loss:0.246
epoch:6,step:39,loss:0.294
benchmark epoch:6,accuracy:17.700
epoch:7,step:0,loss:0.618
epoch:7,step:1,loss:0.270
epoch:7,step:2,loss:0.255
epoch:7,step:3,loss:0.251
epoch:7,step:4,loss:0.248
epoch:7,step:5,loss:0.229
epoch:7,step:6,loss:0.238
epoch:7,step:7,loss:0.225
epoch:7,step:8,loss:0.240
epoch:7,step:9,loss:0.227
epoch:7,step:10,loss:0.214
epoch:7,step:11,loss:0.235
epoch:7,step:12,loss:0.269
epoch:7,step:13,loss:0.241
epoch:7,step:14,loss:0.230
epoch:7,step:15,loss:0.244
